wellName,MD,BS,CALI,DT,DTS,GR,NPHI,RACEHM,RACELM,RHOB,RPCEHM,RPCELM,PHIF,SW,VSH
15/9-F-1 A,3431,8.5,8.6718,86.9092,181.2241,53.9384,0.3222,0.508400023,0.845700026,2.7514,0.6461,0.6467,0.02,1,0.6807
15/9-F-1 A,3431.1,8.5,8.625,86.4334,181.1311,57.2889,0.3239,0.469500005,0.814499974,2.7978,0.7543,0.657,0.02,1,0.7316
15/9-F-1 A,3431.2,8.5,8.625,85.9183,180.9487,59.0455,0.3277,0.50120002,0.804799974,2.8352,0.8718,0.6858,0.02,1,0.7583
15/9-F-1 A,3431.3,8.5,8.625,85.3834,180.7211,58.255,0.3357,0.604799986,0.798399985,2.8557,0.9451,0.7913,0.02,1,0.7462
15/9-F-1 A,3431.4,8.5,8.625,84.8484,180.493,59.4569,0.3456,0.711499989,0.778199971,2.8632,1.0384,0.873,0.02,1,0.7646
15/9-F-1 A,3431.5,8.5,8.625,84.2768,180.0107,58.0765,0.3547,0.685299993,0.738600016,2.8663,1.4461,0.8648,0.02,1,0.7436
15/9-F-1 A,3431.6,8.5,8.625,83.6823,179.3699,58.15,0.3627,0.645500004,0.708599985,2.873,1.9573,0.8311,0.02,1,0.7446
15/9-F-1 A,3431.7,8.5,8.625,83.0878,178.7282,59.7111,0.3694,0.525200009,0.684800029,2.8819,1.9845,0.8402,0.02,1,0.7683
15/9-F-1 A,3431.8,8.5,8.625,82.4643,177.7688,60.8114,0.3732,0.44780001,0.651000023,2.8906,1.2072,0.849,0.02,1,0.785
15/9-F-1 A,3431.9,8.5,8.625,81.8187,176.5675,60.8837,0.3747,0.470400006,1.001199961,2.8992,0.8384,0.7527,0.02,1,0.7861
15/9-F-1 A,3432,8.5,8.625,81.1732,175.3654,60.1783,0.3773,0.544399977,128.8330994,2.9092,0.7503,0.5708,0.02,1,0.7754
15/9-F-1 A,3432.1,8.5,8.625,80.5231,173.9023,60.0818,0.3853,3.929199934,1223.3916,2.9188,0.6878,0.3129,0.02,1,0.7739
15/9-F-1 A,3432.2,8.5,8.625,79.8692,172.1979,61.5823,0.396,728.9501953,2189.603,2.9261,0.5408,0.1519,0.02,1,0.7966
15/9-F-1 A,3432.3,8.5,8.625,79.2158,170.4934,63.2219,0.4038,5464.3691,1934.8481,2.9309,0.2476,0.1366,0.02,1,0.8215
15/9-F-1 A,3432.4,8.5,8.625,78.7291,168.7527,64.7163,0.4063,0.9219,1.0694,2.9315,0.2878,0.2053,0.02,1,0.8442
