,wellName,MD,CALI,GR,RHOB,NPHI,RACEHM_l10,RACELM_l10,RPCEHM_l10,RPCELM_l10,PHIF,SW,VSH
32,15/9-F-1 A,3434.2,8.625,72.7456,2.627,0.3134,-0.14666689499766478,-0.22716507276098186,0.23332615034985738,0.0047941103887121335,0.02,1.0,0.9659
33,15/9-F-1 A,3434.3,8.625,72.5227,2.5898,0.3055,-0.10496440254767736,-0.233959139618611,0.3324586591892028,0.01911629044707278,0.0422,1.0,0.9626
34,15/9-F-1 A,3434.4,8.6249,70.1513,2.5523,0.2982,-0.07551395626608501,-0.23980377054486604,0.4103553834344705,0.042654253167793324,0.0648,1.0,0.9268
35,15/9-F-1 A,3434.5,8.5781,64.3046,2.5186,0.2933,-0.06153031163235465,-0.2425280522343319,0.42991369776375454,0.05399986069306542,0.0851,1.0,0.8382
36,15/9-F-1 A,3434.6,8.5781,58.7215,2.4902,0.2836,-0.05286048235717089,-0.24245214653075614,0.41348417431740686,0.05682865263781174,0.1022,0.882,0.7535
37,15/9-F-1 A,3434.7,8.5781,54.6092,2.4662,0.2692,-0.04774046340917945,-0.2395775165767879,0.3947492807005036,0.05373131588760734,0.1167,0.7896,0.6912
38,15/9-F-1 A,3434.8,8.5781,51.0885,2.4444,0.2521,-0.049829940191799905,-0.24033215531036956,0.3796680340336538,0.05415324034569381,0.1298,0.7222,0.6378
39,15/9-F-1 A,3434.9,8.5781,49.5079,2.4227,0.2347,-0.05843887976392922,-0.24093681183951277,0.3785795761157748,0.05755200105453261,0.1429,0.6568,0.6137
40,15/9-F-1 A,3435.0,8.5781,49.6982,2.4007,0.2199,-0.07052998382251052,-0.2392760278580483,0.33366889957641027,0.04774201818064167,0.1424,0.6622,0.32299999999999995
41,15/9-F-1 A,3435.1,8.5781,48.2867,2.3785,0.2086,-0.08953568400438638,-0.23522628308895963,0.24941850723598755,0.03269932749261747,0.1551,0.6681,0.3119
42,15/9-F-1 A,3435.2,8.5781,45.0773,2.3583,0.2007,-0.10779405402422744,-0.22958986848609364,0.07674964062400016,-0.020588217365564668,0.1666,0.7383,0.2865
43,15/9-F-1 A,3435.3,8.5781,38.6371,2.3403,0.1953,-0.11446916681190787,-0.2188911642705336,-0.09044397075882467,-0.08380934001946241,0.177,0.8148,0.2354
44,15/9-F-1 A,3435.4,8.5781,32.3912,2.3258,0.192,-0.12337808396572701,-0.21324857785443882,-0.16367588429324834,-0.12119106764079451,0.1853,0.8335,0.1857
45,15/9-F-1 A,3435.5,8.5781,29.4624,2.3153,0.1894,-0.15403423845451625,-0.21154879297654444,-0.23859844250136897,-0.16551571466519474,0.1913,0.8684,0.1625
46,15/9-F-1 A,3435.6,8.5781,26.9639,2.3089,0.1871,-0.18039026724841478,-0.21218543293697692,-0.2801717137456653,-0.20418947533259169,0.1949,0.8864,0.1426
47,15/9-F-1 A,3435.7,8.5781,25.8226,2.3061,0.1858,-0.2073282108584327,-0.21303574056426708,-0.31077996273616443,-0.22841251911874466,0.1965,0.9049,0.1335
48,15/9-F-1 A,3435.8,8.5781,24.344,2.3066,0.187,-0.25095973129654275,-0.21810108064885092,-0.342370568611048,-0.2573534100612638,0.1962,0.9309999999999999,0.1218
49,15/9-F-1 A,3435.9,8.5781,23.9571,2.3085,0.1919,-0.29132420727346303,-0.22308099715795351,-0.36511985923347373,-0.2850000325879575,0.1951,0.9546,0.1187
50,15/9-F-1 A,3436.0,8.5781,24.6456,2.3096,0.1991,-0.3088300658683961,-0.22504531091986146,-0.3797598101541686,-0.3000755972575233,0.1945,0.9713,0.1242
51,15/9-F-1 A,3436.1,8.5781,24.2384,2.3095,0.2065,-0.324863495532006,-0.22760493891799982,-0.3934036908207148,-0.3202088290196456,0.1946,0.983,0.1209
52,15/9-F-1 A,3436.2,8.5781,24.6504,2.309,0.2128,-0.3488189375553121,-0.23254728190222684,-0.4108326094539524,-0.3429441471428961,0.1949,0.9988,0.1242
53,15/9-F-1 A,3436.3,8.5781,25.2113,2.3095,0.2168,-0.36141091670728304,-0.23642227553335465,-0.42388910587916023,-0.3659259745125316,0.1946,1.0,0.1287
