,Unnamed: 0,wellName,MD,SW,PredictedSw,VSH,PredictedVSH,PHIF,PredictedPHIF
0,13971,15/9-F-11 B,3356.7,1.0,1.0747736,0.7859999999999999,0.755907,0.057,0.06807552
1,13972,15/9-F-11 B,3356.8,1.0,1.0655967,0.777,0.74738926,0.057,0.06955542
2,13973,15/9-F-11 B,3356.9,1.0,1.0507689,0.764,0.73364985,0.056,0.072524875
3,13984,15/9-F-11 B,3358.0,1.0,1.0485752,0.763,0.7336356,0.06,0.07538776
4,13985,15/9-F-11 B,3358.1,1.0,1.0480576,0.763,0.7335105,0.061,0.075789735
5,13986,15/9-F-11 B,3358.2,1.0,1.0390873,0.757,0.72793245,0.062,0.07744983
6,13987,15/9-F-11 B,3358.3,1.0,1.039473,0.76,0.7303629,0.062,0.0779178
7,13988,15/9-F-11 B,3358.4,1.0,1.04175,0.7609999999999999,0.73188066,0.061,0.07737063
8,13989,15/9-F-11 B,3358.5,1.0,1.053187,0.7709999999999999,0.7417878,0.059,0.07492679
9,13990,15/9-F-11 B,3358.6,1.0,1.0520285,0.767,0.7374926,0.061,0.07504833
10,13991,15/9-F-11 B,3358.7,1.0,1.0430517,0.755,0.72562206,0.065,0.07607196
11,13992,15/9-F-11 B,3358.8,1.0,1.0328685,0.741,0.7110618,0.066,0.07743773
12,13997,15/9-F-11 B,3359.3,1.0,1.0443351,0.75,0.7202333,0.063,0.075394854
13,13998,15/9-F-11 B,3359.4,1.0,1.0373471,0.745,0.7151098,0.061,0.07663588
14,13999,15/9-F-11 B,3359.5,1.0,1.0431497,0.7509999999999999,0.7214536,0.059,0.076222405
15,14000,15/9-F-11 B,3359.6,1.0,1.0329118,0.74,0.71031946,0.059,0.07863662
16,14001,15/9-F-11 B,3359.7,1.0,1.0173578,0.725,0.69465023,0.06,0.08128965
17,14002,15/9-F-11 B,3359.8,1.0,1.0093118,0.711,0.6808905,0.06,0.082659766
18,14003,15/9-F-11 B,3359.9,1.0,1.0107254,0.713,0.6833145,0.061,0.08248718
19,14004,15/9-F-11 B,3360.0,1.0,1.0132217,0.711,0.68150693,0.061,0.08221389
20,14007,15/9-F-11 B,3360.3,1.0,1.0661757,0.77,0.739682,0.053,0.0738679
21,14008,15/9-F-11 B,3360.4,1.0,1.056078,0.757,0.73150986,0.05,0.07653308
22,14009,15/9-F-11 B,3360.5,1.0,1.0371723,0.745,0.71487653,0.047,0.08061735
23,14010,15/9-F-11 B,3360.6,1.0,1.0420866,0.752,0.7226467,0.045,0.08101775
24,14014,15/9-F-11 B,3361.0,1.0,1.0222054,0.746,0.71714574,0.056,0.0855604
25,14015,15/9-F-11 B,3361.1,1.0,1.0323318,0.754,0.7244853,0.056,0.08343589
26,14016,15/9-F-11 B,3361.2,1.0,1.0290186,0.747,0.7180482,0.055,0.083641306
27,14017,15/9-F-11 B,3361.3,1.0,1.0340599,0.75,0.7203311,0.055,0.08238329
28,14018,15/9-F-11 B,3361.4,1.0,1.0334162,0.752,0.72278935,0.056,0.08247538
29,14019,15/9-F-11 B,3361.5,1.0,1.0355912,0.757,0.7274255,0.057,0.081569314
30,14020,15/9-F-11 B,3361.6,1.0,1.0466549,0.767,0.7378988,0.058,0.07903767
31,14021,15/9-F-11 B,3361.7,1.0,1.0315733,0.753,0.7241433,0.061,0.08145873
32,14022,15/9-F-11 B,3361.8,1.0,1.0467346,0.769,0.73964566,0.063,0.07897586
33,14023,15/9-F-11 B,3361.9,1.0,1.049249,0.77,0.7406298,0.063,0.0782242
34,14024,15/9-F-11 B,3362.0,1.0,1.063334,0.779,0.7499553,0.062,0.075552896
35,14025,15/9-F-11 B,3362.1,1.0,1.0690491,0.787,0.7575329,0.061,0.074036136
36,14026,15/9-F-11 B,3362.2,1.0,1.0824375,0.799,0.7698529,0.058,0.071102306
37,14027,15/9-F-11 B,3362.3,1.0,1.0786865,0.7959999999999999,0.76661026,0.056,0.07143603
38,14030,15/9-F-11 B,3362.6,1.0,1.1110948,0.8390000000000001,0.8098562,0.058,0.06734796
39,14031,15/9-F-11 B,3362.7,1.0,1.0940521,0.823,0.7942409,0.06,0.07176161
40,14038,15/9-F-11 B,3363.4,1.0,1.0503536,0.792,0.7632073,0.07200000000000001,0.0774128
41,14045,15/9-F-11 B,3364.1,1.0,1.0073395,0.742,0.71309817,0.069,0.084960714
42,14046,15/9-F-11 B,3364.2,1.0,0.9912704,0.731,0.70286405,0.069,0.08815175
43,14047,15/9-F-11 B,3364.3,1.0,0.99693716,0.743,0.71427125,0.071,0.087809786
44,14048,15/9-F-11 B,3364.4,1.0,0.9809245,0.727,0.6986634,0.07400000000000001,0.090734094
45,14049,15/9-F-11 B,3364.5,1.0,0.99866235,0.745,0.7167712,0.073,0.087065786
46,14050,15/9-F-11 B,3364.6,1.0,1.002048,0.743,0.7148063,0.07,0.08643903
47,14052,15/9-F-11 B,3364.8,1.0,1.0253696,0.764,0.7356256,0.066,0.08167492
48,14053,15/9-F-11 B,3364.9,1.0,1.022965,0.759,0.7299243,0.068,0.08185738
49,14056,15/9-F-11 B,3365.2,1.0,1.005668,0.7390000000000001,0.7100459,0.069,0.082810566
50,14057,15/9-F-11 B,3365.3,1.0,1.0045707,0.735,0.7057023,0.067,0.08303504
51,14058,15/9-F-11 B,3365.4,1.0,1.004521,0.732,0.7032699,0.066,0.08288117
52,14059,15/9-F-11 B,3365.5,1.0,1.015332,0.7390000000000001,0.71013784,0.065,0.081076756
53,14061,15/9-F-11 B,3365.7,1.0,1.0839767,0.809,0.7800144,0.063,0.06909013
54,14080,15/9-F-11 B,3367.6,1.0,1.0006902,0.71,0.67959666,0.067,0.07737252
55,14081,15/9-F-11 B,3367.7,1.0,1.0198022,0.721,0.690554,0.061,0.07241224
56,14082,15/9-F-11 B,3367.8,1.0,1.015848,0.7020000000000001,0.67098004,0.053,0.070627004
57,14083,15/9-F-11 B,3367.9,1.0,1.0135653,0.6920000000000001,0.66031945,0.045,0.06911944
58,14084,15/9-F-11 B,3368.0,1.0,1.0418817,0.733,0.7019993,0.04,0.06503029
59,14085,15/9-F-11 B,3368.1,1.0,1.0554011,0.75,0.71877325,0.036000000000000004,0.06494206
