,Unnamed: 0,wellName,MD,SW,PredictedSw
0,13971,15/9-F-11 B,3356.7,1.0,1.0326142
1,13972,15/9-F-11 B,3356.8,1.0,1.0247884
2,13973,15/9-F-11 B,3356.9,1.0,1.013722
3,13984,15/9-F-11 B,3358.0,1.0,1.0179839
4,13985,15/9-F-11 B,3358.1,1.0,1.0183403
5,13986,15/9-F-11 B,3358.2,1.0,1.0117025
6,13987,15/9-F-11 B,3358.3,1.0,1.0136045
7,13988,15/9-F-11 B,3358.4,1.0,1.0150564
8,13989,15/9-F-11 B,3358.5,1.0,1.0231982
9,13990,15/9-F-11 B,3358.6,1.0,1.0214772
10,13991,15/9-F-11 B,3358.7,1.0,1.0122106
11,13992,15/9-F-11 B,3358.8,1.0,1.0023597
12,13997,15/9-F-11 B,3359.3,1.0,1.0111029
13,13998,15/9-F-11 B,3359.4,1.0,1.005985
14,13999,15/9-F-11 B,3359.5,1.0,1.0121756
15,14000,15/9-F-11 B,3359.6,1.0,1.0056188
16,14001,15/9-F-11 B,3359.7,1.0,0.99317384
17,14002,15/9-F-11 B,3359.8,1.0,0.9854561
18,14003,15/9-F-11 B,3359.9,1.0,0.98699564
19,14004,15/9-F-11 B,3360.0,1.0,0.98861784
20,14007,15/9-F-11 B,3360.3,1.0,1.034404
21,14008,15/9-F-11 B,3360.4,1.0,1.02879
22,14009,15/9-F-11 B,3360.5,1.0,1.0163128
23,14010,15/9-F-11 B,3360.6,1.0,1.0236927
24,14014,15/9-F-11 B,3361.0,1.0,1.0112101
25,14015,15/9-F-11 B,3361.1,1.0,1.0182598
26,14016,15/9-F-11 B,3361.2,1.0,1.0144875
27,14017,15/9-F-11 B,3361.3,1.0,1.0173196
28,14018,15/9-F-11 B,3361.4,1.0,1.0168695
29,14019,15/9-F-11 B,3361.5,1.0,1.0177851
30,14020,15/9-F-11 B,3361.6,1.0,1.0253167
31,14021,15/9-F-11 B,3361.7,1.0,1.012547
32,14022,15/9-F-11 B,3361.8,1.0,1.0254109
33,14023,15/9-F-11 B,3361.9,1.0,1.0264692
34,14024,15/9-F-11 B,3362.0,1.0,1.0368102
35,14025,15/9-F-11 B,3362.1,1.0,1.0406342
36,14026,15/9-F-11 B,3362.2,1.0,1.0504576
37,14027,15/9-F-11 B,3362.3,1.0,1.0466415
38,14030,15/9-F-11 B,3362.6,1.0,1.0817342
39,14031,15/9-F-11 B,3362.7,1.0,1.0701118
40,14038,15/9-F-11 B,3363.4,1.0,1.03068
41,14045,15/9-F-11 B,3364.1,1.0,0.9927943
42,14046,15/9-F-11 B,3364.2,1.0,0.9815308
43,14047,15/9-F-11 B,3364.3,1.0,0.9885133
44,14048,15/9-F-11 B,3364.4,1.0,0.975763
45,14049,15/9-F-11 B,3364.5,1.0,0.9889759
46,14050,15/9-F-11 B,3364.6,1.0,0.99090785
47,14052,15/9-F-11 B,3364.8,1.0,1.0081661
48,14053,15/9-F-11 B,3364.9,1.0,1.0050037
49,14056,15/9-F-11 B,3365.2,1.0,0.98543894
50,14057,15/9-F-11 B,3365.3,1.0,0.9841829
51,14058,15/9-F-11 B,3365.4,1.0,0.9834121
52,14059,15/9-F-11 B,3365.5,1.0,0.991813
53,14061,15/9-F-11 B,3365.7,1.0,1.0505426
54,14080,15/9-F-11 B,3367.6,1.0,0.96332616
55,14081,15/9-F-11 B,3367.7,1.0,0.9735469
56,14082,15/9-F-11 B,3367.8,1.0,0.96189064
57,14083,15/9-F-11 B,3367.9,1.0,0.9537317
58,14084,15/9-F-11 B,3368.0,1.0,0.98171276
59,14085,15/9-F-11 B,3368.1,1.0,0.99859995
60,14086,15/9-F-11 B,3368.2,1.0,0.991548
61,14087,15/9-F-11 B,3368.3,1.0,0.97682273
62,14088,15/9-F-11 B,3368.4,1.0,0.96443695
63,14089,15/9-F-11 B,3368.5,1.0,0.96303594
64,14090,15/9-F-11 B,3368.6,1.0,0.9572267
65,14091,15/9-F-11 B,3368.7,1.0,0.9554413
66,14092,15/9-F-11 B,3368.8,1.0,0.9512844
67,14093,15/9-F-11 B,3368.9,1.0,0.972883
68,14094,15/9-F-11 B,3369.0,1.0,0.9724209
69,14095,15/9-F-11 B,3369.1,1.0,0.955673
70,14096,15/9-F-11 B,3369.2,1.0,0.960628
71,14097,15/9-F-11 B,3369.3,1.0,0.9612555
72,14098,15/9-F-11 B,3369.4,1.0,0.9681434
73,14099,15/9-F-11 B,3369.5,1.0,0.987828
74,14100,15/9-F-11 B,3369.6,1.0,0.9871711
75,14101,15/9-F-11 B,3369.7,1.0,1.0041027
76,14102,15/9-F-11 B,3369.8,1.0,1.0294907
77,14103,15/9-F-11 B,3369.9,1.0,1.0256579
78,14104,15/9-F-11 B,3370.0,1.0,1.0078164
79,14105,15/9-F-11 B,3370.1,1.0,1.0079765
80,14106,15/9-F-11 B,3370.2,1.0,0.985708
81,14107,15/9-F-11 B,3370.3,1.0,0.9779524
82,14108,15/9-F-11 B,3370.4,1.0,0.96728176
83,14109,15/9-F-11 B,3370.5,1.0,0.9515046
84,14110,15/9-F-11 B,3370.6,1.0,0.93054503
85,14111,15/9-F-11 B,3370.7,1.0,0.91730636
86,14112,15/9-F-11 B,3370.8,1.0,0.93917716
87,14113,15/9-F-11 B,3370.9,1.0,0.9463194
88,14114,15/9-F-11 B,3371.0,1.0,0.9532426
89,14115,15/9-F-11 B,3371.1,1.0,0.94820654
90,14116,15/9-F-11 B,3371.2,1.0,0.9518259
91,14117,15/9-F-11 B,3371.3,1.0,0.96466047
92,14118,15/9-F-11 B,3371.4,1.0,0.9584246
93,14119,15/9-F-11 B,3371.5,1.0,0.9671789
94,14120,15/9-F-11 B,3371.6,1.0,0.9671175
95,14121,15/9-F-11 B,3371.7,1.0,0.9667378
96,14122,15/9-F-11 B,3371.8,1.0,0.9918416
97,14123,15/9-F-11 B,3371.9,1.0,1.0023842
98,14124,15/9-F-11 B,3372.0,1.0,0.97194046
99,14125,15/9-F-11 B,3372.1,1.0,0.94135004
100,14126,15/9-F-11 B,3372.2,1.0,0.9372899
101,14127,15/9-F-11 B,3372.3,1.0,0.9393969
102,14128,15/9-F-11 B,3372.4,1.0,0.9375361
103,14129,15/9-F-11 B,3372.5,1.0,0.9225399
104,14130,15/9-F-11 B,3372.6,1.0,0.9346221
105,14131,15/9-F-11 B,3372.7,1.0,0.93875104
106,14132,15/9-F-11 B,3372.8,1.0,0.93301123
107,14133,15/9-F-11 B,3372.9,1.0,0.9251909
108,14134,15/9-F-11 B,3373.0,1.0,0.9219752
109,14135,15/9-F-11 B,3373.1,1.0,0.9303614
110,14136,15/9-F-11 B,3373.2,1.0,0.93324655
111,14137,15/9-F-11 B,3373.3,1.0,0.93431383
112,14138,15/9-F-11 B,3373.4,1.0,0.94743115
113,14139,15/9-F-11 B,3373.5,1.0,0.9583774
114,14140,15/9-F-11 B,3373.6,1.0,0.9473359
115,14141,15/9-F-11 B,3373.7,1.0,0.9320361
116,14142,15/9-F-11 B,3373.8,1.0,0.9296196
117,14143,15/9-F-11 B,3373.9,1.0,0.9521703
118,14144,15/9-F-11 B,3374.0,1.0,0.9586832
119,14145,15/9-F-11 B,3374.1,1.0,0.9537069
120,14146,15/9-F-11 B,3374.2,1.0,0.9587054
121,14147,15/9-F-11 B,3374.3,1.0,0.98007077
122,14148,15/9-F-11 B,3374.4,1.0,0.9837703
123,14149,15/9-F-11 B,3374.5,1.0,0.98564625
124,14150,15/9-F-11 B,3374.6,1.0,0.9927619
125,14151,15/9-F-11 B,3374.7,1.0,0.9990639
126,14154,15/9-F-11 B,3375.0,1.0,1.0002972
127,14155,15/9-F-11 B,3375.1,1.0,1.0048611
128,14156,15/9-F-11 B,3375.2,1.0,1.009548
129,14157,15/9-F-11 B,3375.3,1.0,1.0035706
130,14158,15/9-F-11 B,3375.4,1.0,0.9958551
131,14159,15/9-F-11 B,3375.5,1.0,1.0032748
132,14160,15/9-F-11 B,3375.6,1.0,1.0152241
133,14161,15/9-F-11 B,3375.7,1.0,1.0056489
134,14162,15/9-F-11 B,3375.8,1.0,0.9865274
135,14163,15/9-F-11 B,3375.9,1.0,0.9846479
136,14164,15/9-F-11 B,3376.0,1.0,0.9768333
137,14165,15/9-F-11 B,3376.1,1.0,0.9978277
138,14166,15/9-F-11 B,3376.2,1.0,1.0062926
139,14167,15/9-F-11 B,3376.3,1.0,1.0059727
140,14168,15/9-F-11 B,3376.4,1.0,1.0083905
141,14169,15/9-F-11 B,3376.5,1.0,0.9848257
