,wellName,MD,CALI,GR,RHOB,NPHI,RACEHM_l10,RACELM_l10,RPCEHM_l10,RPCELM_l10
301,15/9-F-1 A,3461.1,8.5781,21.6229,2.2880000000000003,0.1833,-0.509900994936695,-0.45271769203669676,-0.4463596637686458,-0.4561801948573423
12587,15/9-F-11 A,3588.4,8.672,39.065,2.5610000000000004,0.22399999999999998,-0.02410886359820726,-0.015472686656207449,-0.12378215940835775,-0.07058107428570728
19514,15/9-F-11 B,3911.0,8.625,14.572000000000001,2.204,0.163,1.7587454061598637,1.4471114972976469,1.7780933405919845,1.744112967926252
13578,15/9-F-11 A,3687.5,8.625,33.596,2.23,0.19899999999999998,0.5995555909859803,0.5974757898703775,0.7012224842565572,0.6450290647211425
4629,15/9-F-1 C,3282.7,8.5569,70.9618,2.3756,0.261,-0.11855827805860684,-0.09355720618296762,-0.05724807957018629,-0.1081281695544162
22069,15/9-F-11 B,4166.5,8.625,17.035999999999998,2.252,0.17600000000000002,0.4055171069763763,0.4124605474299613,0.3155505344219049,0.3410386316775229
7672,15/9-F-1 C,3587.0,8.5242,36.7707,2.1757,0.2294,0.9569172308020807,0.48472680429866183,1.0203778584566412,0.7960259157804298
11314,15/9-F-1 C,3951.2,8.5569,24.2365,2.3053,0.1711,0.9690989294838307,0.822684478018108,1.0056780353208452,0.9757120563056395
15124,15/9-F-11 B,3472.0,8.578,17.233,2.207,0.192,1.592243395937578,1.3067680383154059,1.677816750212234,1.614612512272647
3147,15/9-F-1 B,3334.6,8.6635,28.9856,2.4103,0.1486,-0.20335629621488355,-0.20873051908973153,0.01178183054810685,-0.10363915453068365
5725,15/9-F-1 C,3392.3,8.5243,33.6991,2.1953,0.2622,-0.264880365918128,-0.2579822528598617,-0.2512694439015055,-0.2641616656829262
8532,15/9-F-1 C,3673.0,8.5569,71.0182,2.4999,0.2076,0.30743185171974635,0.3879234669734367,0.4394590156699849,0.3478567048513253
1333,15/9-F-1 A,3564.3,8.7031,50.4531,2.4365,0.1862,-0.2019712065959269,-0.18990195931885714,-0.20314825095011305,-0.1972262747080243
11019,15/9-F-1 C,3921.7,8.5569,20.4405,2.2094,0.1812,0.7917187123771697,0.7312018371202478,1.030636147748089,0.9036379379540376
3989,15/9-F-1 B,3418.8,8.6973,38.8013,2.4487,0.1661,0.02139605674197138,0.033021444682910656,0.014352500651008897,0.02546971906105582
11341,15/9-F-1 C,3953.9,8.5569,22.0264,2.3582,0.1596,0.9652722740264037,0.8240867651894221,1.0542030770717903,1.0222674915830159
22743,15/9-F-11 B,4233.9,8.625,26.005,2.1959999999999997,0.19899999999999998,1.351506422929044,1.0340666785975607,1.5105316058490776,1.3839947894417328
11931,15/9-F-1 C,4012.9,8.5569,76.3495,2.4966,0.2807,0.23172438332851655,0.1867586271816139,0.4086469256557653,0.2683673254214837
22310,15/9-F-11 B,4190.6,8.625,24.0,2.15,0.198,1.3245910857609264,1.0293431875191066,1.57388068620502,1.4101696395679975
6024,15/9-F-1 C,3422.2,8.6384,55.506,2.3985,0.26,-0.03461012978487766,-0.0056388480919989875,0.5654936298688624,0.09791640923732536
13684,15/9-F-11 A,3698.1,8.625,41.799,2.274,0.23399999999999999,0.2509076997008559,0.28397928423847985,0.2711443179490783,0.2633993313340023
1738,15/9-F-1 A,3604.8,8.6875,46.7644,2.5849,0.0945,0.26571381064002186,0.21832539660967057,0.34091979340016265,0.29265473019798655
13892,15/9-F-11 A,3718.9,8.703,55.726000000000006,2.6210000000000004,0.21,0.2057455409426621,0.1903316981702915,0.2792105126013951,0.2273724422896363
23655,15/9-F-11 B,4325.1,8.703,68.402,2.571,0.21100000000000002,0.8543667780408696,1.1146443389022793,0.5189085736914142,0.707229419327294
23723,15/9-F-11 B,4331.9,8.75,62.451,2.575,0.204,1.2188242386774024,0.7937903148685491,1.4839579649009735,1.0723234382930409
9594,15/9-F-1 C,3779.2,8.5569,36.2578,2.2927,0.17800000000000002,0.9774949690730363,0.9968005220011272,0.9400580424509226,0.9622509186326403
14746,15/9-F-11 B,3434.2,8.625,64.753,2.5069999999999997,0.275,0.1967287226232869,0.21695720736109703,0.26834391395106466,0.22375545365724123
21339,15/9-F-11 B,4093.5,8.682,58.135,2.448,0.201,0.9061194575455617,1.0225108504340306,0.7388598020722003,0.8430458105345693
8510,15/9-F-1 C,3670.8,8.5243,43.5463,2.2823,0.2075,0.6814311996601995,0.42742118728059575,0.43601944943043414,0.39788789020703874
8787,15/9-F-1 C,3698.5,8.5243,47.1668,2.273,0.2455,0.37351885496912124,0.5490523320763347,0.24395530197874102,0.3411772352473648
14612,15/9-F-11 B,3420.8,8.625,88.166,2.539,0.28,0.31701810104811157,0.31659930209386083,0.41530729222556745,0.3348556896172915
4635,15/9-F-1 C,3283.3,8.6383,68.4119,2.3692,0.2534,-0.1343039400839294,-0.05804158346918638,-0.20929271267232025,-0.16361258067358905
26533,15/9-F-11 B,4612.9,8.672,29.406,2.3040000000000003,0.187,0.6738498853118987,0.7386221071976874,0.863857961883973,0.7460111077519259
12964,15/9-F-11 A,3626.1,8.625,18.837,2.235,0.187,1.4988479191334398,0.8827520987235712,0.5824042980190282,0.7786576319473553
5836,15/9-F-1 C,3403.4,8.5243,32.3462,2.224,0.25,-0.17069622716897506,-0.05335126609332372,-0.2749054789185309,-0.18283142761894441
20790,15/9-F-11 B,4038.6,8.625,24.605999999999998,2.12,0.205,1.1709654063108412,1.1421703862760955,1.520863292447035,1.331488032760532
9818,15/9-F-1 C,3801.6,8.5568,31.0961,2.2436,0.1816,0.8566624424722601,0.8601103166841222,1.0999291328250558,0.9756799059064146
6741,15/9-F-1 C,3493.9,8.5243,24.928,2.2219,0.1752,0.5234342867464369,0.461363445295965,0.6071439355286153,0.5411672175841452
11003,15/9-F-1 C,3920.1,8.5569,21.5193,2.2238,0.1708,0.9303835202629754,0.8011703770094398,1.0769497637576728,0.9992132147320941
8047,15/9-F-1 C,3624.5,8.5243,9.8622,2.1786,0.1549,1.454533885280384,0.9322555479157618,1.8250364412213538,1.5632377648712614
9760,15/9-F-1 C,3795.8,8.5243,34.3022,2.2646,0.1858,0.9320270640626216,0.9111682661425097,0.9684549286512251,0.9512937956740555
11480,15/9-F-1 C,3967.8,8.5569,22.8386,2.4798,0.1452,1.2206466976662453,0.8417472836747028,1.6553824167043119,1.2587904797738252
11195,15/9-F-1 C,3939.3,8.5569,18.4504,2.2628,0.16399999999999998,1.1479636980874108,0.6164755138885655,1.4757801114070312,1.1172414576053071
9661,15/9-F-1 C,3785.9,8.5569,40.3289,2.3006,0.1735,0.8501988468945597,0.8724942496595844,0.9476542443514988,0.8977150407605483
21871,15/9-F-11 B,4146.7,8.672,13.511,2.296,0.18100000000000002,0.35621713421973517,0.4109458586877745,0.5778363412927441,0.43376983392486573
809,15/9-F-1 A,3511.9,8.6719,44.7066,2.6486,0.0786,0.6189262621569375,0.5784902179689138,0.7060175688990075,0.6591171999653848
8151,15/9-F-1 C,3634.9,8.5243,20.0939,2.2311,0.1821,1.1862187077186852,0.7611155948414497,1.552142365067573,1.205288290557362
9487,15/9-F-1 C,3768.5,8.5243,31.3478,2.2327,0.1754,1.254054774935042,1.2827987851776763,1.279562007284746,1.3088438940188445
26080,15/9-F-11 B,4567.6,8.75,54.323,2.378,0.24,0.7909884048146221,0.6722826247889205,0.5866998016240491,0.6313422864839328
10079,15/9-F-1 C,3827.7,8.5569,40.2608,2.2549,0.1924,0.8729483560267949,0.785336954534081,1.0495087475378295,0.9416704129535219
3997,15/9-F-1 B,3419.6,8.6637,39.8837,2.4618,0.1643,0.08300066957653318,0.061904633716170186,0.04622193722163641,0.07184520112940913
22958,15/9-F-11 B,4255.4,8.672,39.274,2.425,0.16699999999999998,0.8618926903914459,0.7976829349148991,0.9820449790714904,0.8573928109209014
9494,15/9-F-1 C,3769.2,8.5569,29.0078,2.2359999999999998,0.1627,1.228546638943641,1.2664363268048153,1.242394816743942,1.2778635286809823
15484,15/9-F-11 B,3508.0,8.656,59.83,2.428,0.182,1.4099331233312946,1.5567004216897933,1.2137036536801793,1.2975197774236442
9828,15/9-F-1 C,3802.6,8.5569,33.5408,2.3221,0.1123,0.955480894161987,0.9006019665704542,0.9664937207214802,0.9392246311617455
13855,15/9-F-11 A,3715.2,8.727,60.669,2.501,0.262,0.3283796034387377,0.3244882333076563,0.346548558548474,0.3326404103874625
6378,15/9-F-1 C,3457.6,8.5243,41.8918,2.3663,0.2336,-0.13006458935314005,0.05842602445700545,-0.21509755011334517,-0.16634300310712766
8584,15/9-F-1 C,3678.2,8.5569,41.7249,2.418,0.1949,0.41321591535391283,0.3940311923487303,0.5677084611285497,0.45290525805752063
6918,15/9-F-1 C,3511.6,8.5243,31.6548,2.2989,0.1835,1.0224861083041548,0.9699235350844329,1.089558950273732,1.0677550655905323
8267,15/9-F-1 C,3646.5,8.5244,28.6845,2.2222,0.1948,0.6240034803315623,0.5603610205816353,0.8325472311170875,0.711326287393904
946,15/9-F-1 A,3525.6,8.703,57.9243,2.4347,0.1814,0.08278537031645007,0.09096307659573159,0.00030389978481245835,0.05034108183408433
26883,15/9-F-11 B,4647.9,8.625,14.683,2.2640000000000002,0.157,0.49623754516673524,0.42748610909578555,0.5835388192543521,0.5010592622177514
27489,15/9-F-11 B,4708.5,8.672,22.83,2.37,0.13,-0.0163737128754655,-0.04769199033787485,-0.0333890133180657,-0.027797161620935564
7897,15/9-F-1 C,3609.5,8.5814,62.169,2.483,0.2178,0.13991055587568263,0.40202051873394595,0.2049064289025684,0.2152937981865139
1295,15/9-F-1 A,3560.5,8.6719,50.9401,2.5092,0.171,-0.15058058620310055,-0.09533854208447552,0.08195906630047853,-0.026410376572743116
12136,15/9-F-1 C,4033.4,8.6057,45.1539,2.6811,0.2031,0.26552533521907384,0.23540218015803227,0.08852589243125589,0.14201383298435907
16261,15/9-F-11 B,3585.7,8.625,53.934,2.445,0.2,0.6519560695330743,0.5749567757645068,0.8344842853348052,0.6933751510251852
