,SW,PHIF,VSH
301,0.9806,0.2069,0.1002
12587,1.0,0.06,0.284
19514,0.113,0.228,0.079
13578,0.309,0.23399999999999999,0.18600000000000003
4629,0.9492,0.1568,0.5661
22069,0.466,0.217,0.099
7672,0.2122,0.2644,0.2635
11314,0.2622,0.1966,0.1525
15124,0.121,0.239,0.1
3147,0.8807,0.13699999999999998,0.1655
5725,0.6872,0.2708,0.2363
8532,0.9726,0.0857,0.5666
1333,1.0,0.1331,0.32899999999999996
11019,0.2234,0.2335,0.11900000000000001
3989,1.0,0.115,0.2331
11341,0.27399999999999997,0.1739,0.133
22743,0.14,0.245,0.172
11931,0.9135,0.0984,0.6137
22310,0.125,0.261,0.156
6024,0.5474,0.1437,0.4292
13684,0.46799999999999997,0.23399999999999999,0.243
1738,1.0,0.052000000000000005,0.2998
13892,1.0,0.016,0.49700000000000005
23655,1.0,0.045,0.52
23723,0.5770000000000001,0.043,0.47100000000000003
9594,0.2785,0.2037,0.2589
14746,1.0,0.092,0.52
21339,0.556,0.115,0.436
8510,0.4293,0.2191,0.3234
8787,0.4851,0.2375,0.3555
14612,1.0,0.073,0.723
4635,1.0,0.1605,0.5434
26533,0.294,0.204,0.2
12964,0.348,0.22699999999999998,0.083
5836,0.732,0.2561,0.2243
20790,0.127,0.273,0.161
9818,0.2221,0.222,0.2132
6741,0.3461,0.2269,0.1587
11003,0.2208,0.2244,0.1285
8047,0.1049,0.2336,0.0253
9760,0.2577,0.2165,0.2416
11480,0.19899999999999998,0.1265,0.1401
11195,0.1597,0.2084,0.1013
9661,0.2835,0.1992,0.2949
21871,0.38,0.204,0.07
809,1.0,0.02,0.3217
8151,0.1411,0.2265,0.1159
9487,0.187,0.2232,0.2155
26080,0.496,0.155,0.40399999999999997
10079,0.23600000000000002,0.2224,0.2943
3997,1.0,0.1075,0.2405
22958,0.337,0.154,0.281
9494,0.1971,0.217,0.1948
15484,0.278,0.159,0.449
9828,0.3148,0.1674,0.2349
13855,1.0,0.085,0.5479999999999999
6378,1.0,0.1621,0.3088
8584,0.5614,0.1326,0.3073
6918,0.2416,0.2038,0.2182
8267,0.2738,0.2346,0.1919
946,1.0,0.12300000000000001,0.4408
26883,0.371,0.205,0.079
27489,0.818,0.158,0.146
7897,1.0,0.0954,0.4882
1295,1.0,0.0933,0.3329
12136,1.0,0.02,0.3376
16261,0.5,0.11699999999999999,0.401
3738,1.0,0.1007,0.3151
6016,1.0,0.02,0.3462
4024,1.0,0.0953,0.3576
8090,0.5146,0.2307,0.0581
14525,1.0,0.063,0.19699999999999998
9857,0.3026,0.1863,0.3196
8378,0.2519,0.2396,0.2856
10082,0.2027,0.2204,0.2941
20468,0.142,0.183,0.11800000000000001
6122,0.7682,0.1558,0.431
25701,0.165,0.249,0.171
27486,0.802,0.15,0.14800000000000002
21888,0.395,0.21,0.11599999999999999
2563,1.0,0.1061,0.1695
5747,0.6629999999999999,0.2583,0.2416
27686,0.892,0.24,0.33899999999999997
4583,0.7054,0.1947,0.1807
2568,0.6835,0.1743,0.187
26178,0.228,0.203,0.051
1009,1.0,0.02,0.2237
1344,1.0,0.098,0.2596
5509,1.0,0.0461,0.41200000000000003
9917,0.3228,0.209,0.3396
26806,0.622,0.083,0.22
23876,0.488,0.083,0.259
15612,0.254,0.184,0.375
24407,1.0,0.063,0.301
26998,0.41700000000000004,0.203,0.055
11122,0.2172,0.2402,0.1384
27525,1.0,0.139,0.302
14522,0.977,0.067,0.18899999999999997
23105,0.13699999999999998,0.233,0.155
21693,0.424,0.195,0.059000000000000004
14607,1.0,0.063,0.7120000000000001
15730,0.529,0.26,0.166
14413,1.0,0.084,0.324
3193,1.0,0.0739,0.2675
6163,0.9875,0.1585,0.4204
1250,1.0,0.0773,0.2323
20787,0.129,0.272,0.17600000000000002
11224,0.1732,0.2257,0.1065
8001,0.1037,0.2422,0.0175
8443,0.3645,0.2132,0.3542
6723,0.3304,0.2323,0.1516
3898,1.0,0.0904,0.4029
24908,1.0,0.02,0.285
1529,1.0,0.1323,0.2565
7952,0.1084,0.2251,0.0271
10653,0.6193,0.1459,0.4418
6659,0.2587,0.2558,0.2587
16182,0.252,0.175,0.263
11541,0.1941,0.2118,0.08
14014,1.0,0.055999999999999994,0.746
16419,0.326,0.184,0.389
16373,0.225,0.24100000000000002,0.33399999999999996
143,0.8441,0.2146,0.1492
1656,1.0,0.1468,0.3516
1465,1.0,0.1538,0.2856
13602,0.29600000000000004,0.23800000000000002,0.163
25361,0.221,0.187,0.17600000000000002
4714,0.4927,0.0602,0.4437
26734,0.324,0.22,0.213
23475,0.174,0.247,0.20800000000000002
19268,0.9259999999999999,0.10099999999999999,0.259
6921,0.2383,0.2099,0.2495
9542,0.1766,0.2292,0.205
6113,0.5584,0.1571,0.4184
22398,0.11699999999999999,0.273,0.165
16680,0.26899999999999996,0.07,0.384
22275,0.306,0.191,0.174
21341,0.542,0.125,0.375
11704,0.2891,0.1851,0.1298
6111,0.5302,0.1971,0.4257
3704,1.0,0.0971,0.3612
24491,1.0,0.076,0.25
9612,0.2812,0.2168,0.213
9510,0.1873,0.226,0.1488
10741,0.4656,0.2326,0.3278
16059,0.396,0.183,0.435
19500,0.115,0.226,0.083
3437,0.7524,0.203,0.2346
4728,0.8009999999999999,0.1587,0.4915
2427,0.7054,0.2017,0.2971
26416,0.33399999999999996,0.188,0.145
5514,0.9640000000000001,0.0517,0.3371
2523,0.3013,0.2094,0.0692
22745,0.14,0.244,0.17300000000000001
5504,1.0,0.0459,0.4441
20754,0.12,0.266,0.184
10517,0.38299999999999995,0.2498,0.3355
14230,1.0,0.054000000000000006,0.715
11521,0.237,0.1671,0.1594
2124,1.0,0.0633,0.7422
21572,0.275,0.214,0.09300000000000001
11251,0.2306,0.2368,0.1221
14510,0.8140000000000001,0.07200000000000001,0.18899999999999997
6047,0.7425,0.1318,0.4621
11540,0.1934,0.2104,0.0749
7398,0.2479,0.2402,0.2814
13989,1.0,0.059000000000000004,0.7709999999999999
2586,0.8963,0.1171,0.2268
1554,0.91,0.1341,0.4245
7420,0.3924,0.0999,0.2083
5593,0.7373,0.1114,0.3719
19614,0.115,0.22899999999999998,0.077
22234,0.312,0.214,0.11800000000000001
4131,0.2167,0.2058,0.0313
6191,0.9886,0.1492,0.37799999999999995
6805,0.4071,0.2451,0.155
16362,0.225,0.252,0.342
16114,0.20600000000000002,0.16699999999999998,0.256
24586,1.0,0.113,0.299
4633,1.0,0.1592,0.5696
14883,0.486,0.096,0.205
16832,0.26,0.182,0.273
8270,0.2511,0.2372,0.2034
16273,0.424,0.142,0.42200000000000004
24527,1.0,0.133,0.35200000000000004
21518,0.107,0.23399999999999999,0.127
6177,0.9178,0.163,0.3897
27671,0.6970000000000001,0.198,0.506
16292,0.449,0.107,0.39299999999999996
23679,0.863,0.078,0.535
9732,0.2378,0.213,0.218
11983,0.9781,0.0922,0.5931
511,0.9707,0.2091,0.4174
59,1.0,0.1837,0.1764
8729,0.4858,0.2326,0.3866
11204,0.1634,0.2173,0.1102
5013,1.0,0.0253,0.4574
14373,1.0,0.07,0.401
856,0.7885,0.1142,0.4041
24347,1.0,0.063,0.368
15784,0.499,0.254,0.19399999999999998
11568,0.1939,0.2151,0.0936
8833,0.2695,0.2298,0.3788
9723,0.2387,0.2198,0.2293
7895,0.8686,0.1274,0.4671
1213,1.0,0.1588,0.1582
13815,1.0,0.11699999999999999,0.27
3142,0.8494,0.157,0.1582
21202,0.508,0.146,0.44299999999999995
22613,0.14800000000000002,0.243,0.185
11387,0.1973,0.1891,0.105
14106,1.0,0.057999999999999996,0.7509999999999999
10629,0.4606,0.2247,0.2482
23273,0.10800000000000001,0.2,0.239
11156,0.1826,0.2342,0.1236
10442,0.2852,0.2173,0.2195
14162,1.0,0.06,0.747
9570,0.2029,0.222,0.2148
22042,0.442,0.21,0.10099999999999999
8722,0.5077,0.2369,0.354
24549,0.8290000000000001,0.14400000000000002,0.315
4493,0.9302,0.1137,0.2953
19015,0.778,0.08900000000000001,0.39399999999999996
115,0.7657,0.1651,0.2072
16464,0.325,0.222,0.35100000000000003
976,1.0,0.02,0.2844
22019,0.45899999999999996,0.207,0.09300000000000001
15754,0.488,0.257,0.16699999999999998
11927,1.0,0.0731,0.5974
13657,0.322,0.242,0.163
22902,0.361,0.20800000000000002,0.263
11111,0.2195,0.2446,0.1593
20392,0.125,0.26,0.126
24495,1.0,0.10300000000000001,0.285
23704,0.655,0.059000000000000004,0.49200000000000005
2941,1.0,0.049,0.3061
24308,1.0,0.08900000000000001,0.524
23096,0.152,0.217,0.22
10872,1.0,0.02,0.2311
11379,0.1927,0.1829,0.0793
22861,0.209,0.23399999999999999,0.27899999999999997
23369,1.0,0.055,0.5479999999999999
9845,0.3226,0.1619,0.3065
3203,1.0,0.0645,0.2686
14697,1.0,0.083,0.735
26268,0.4,0.185,0.044000000000000004
26954,0.493,0.188,0.035
7967,0.1115,0.2198,0.0298
20638,0.11199999999999999,0.247,0.138
2966,1.0,0.0311,0.2717
14312,1.0,0.049,0.738
6896,0.2631,0.2325,0.2857
23177,0.11800000000000001,0.244,0.13699999999999998
2665,0.604,0.1844,0.1891
26431,0.33399999999999996,0.20199999999999999,0.121
14824,0.774,0.127,0.275
6125,0.9085,0.155,0.4378
20436,0.096,0.26,0.18100000000000002
23490,0.165,0.24600000000000002,0.19399999999999998
27098,0.42,0.2,0.032
6742,0.3434,0.2287,0.149
10298,0.3493,0.2474,0.3653
14756,1.0,0.069,0.498
6641,0.2844,0.2608,0.2505
4480,0.9805,0.1067,0.3099
24887,1.0,0.043,0.33799999999999997
13447,0.303,0.20199999999999999,0.16
10428,0.3534,0.1801,0.2521
27328,0.632,0.215,0.25
19204,1.0,0.02,0.253
22465,0.132,0.255,0.18600000000000003
10425,0.3495,0.1875,0.2632
24707,1.0,0.085,0.252
12807,0.9470000000000001,0.11599999999999999,0.624
16323,0.22899999999999998,0.251,0.331
13043,0.33399999999999996,0.226,0.16899999999999998
22183,0.305,0.204,0.111
5550,1.0,0.0209,0.4263
4805,1.0,0.0505,0.3757
9960,0.3117,0.2307,0.3076
